post_title,sku,stock,regular_price,sale_price,whole_price,weight,product_url,low_stock_amount,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_brand,attribute_data:pa_brand,attribute_default:pa_brand,attribute:pa_gift-card-amount,attribute_data:pa_gift-card-amount,attribute_default:pa_gift-card-amount,attribute:pa_line,attribute_data:pa_line,attribute_default:pa_line,attribute:pa_number,attribute_data:pa_number,attribute_default:pa_number
Royal Cosmetics 5 Piece Brush Collection,T1601,0,680,549,,,,1,simple,outofstock|rated-5,Cosmetics > Tools &amp; Accessories > Makeup Accessories > Brush Set|Cosmetics|Cosmetics > Tools &amp; Accessories > Makeup Accessories|Cosmetics > Tools &amp; Accessories,,,Royal Cosmetics,0|1|0,,,,,Royal Cosmetics Makeup Brush,1|1|0,,20,2|0|0,
Real Techniques Enhanced Eye Makeup Brush Set,T1701,0,1950,780,,,,1,simple,outofstock|rated-5,Cosmetics > Tools &amp; Accessories > Makeup Accessories > Brush Set|Cosmetics|Cosmetics > Tools &amp; Accessories > Makeup Accessories|Cosmetics > Tools &amp; Accessories,,,Real Techniques,0|1|0,,,,,Real Techniques Eye Brush,1|1|0,,20,2|0|0,
Gillette Simply Venus 4+2 Blades,CY1301,0,600,490,,,,1,simple,outofstock|rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Feminine Hygiene|Cosmetics > Skin &amp; Personal Care > Feminine Hygiene > Shaving &amp; Hair Removal,,,Gillette,0|1|0,,,,,Gillette Razors,1|1|0,,20,2|0|0,
Victoria’s Secret Bombshell Body Mist,FR1101,1,2450,1890,,,,1,simple,rated-5,Cosmetics > Fragrance > Body Mist|Cosmetics|Cosmetics > Fragrance,,,Victoria’s Secret,0|1|0,,,,,Victoria’s Secret Body Mist,1|1|0,,20,2|0|0,
Makeup Revolution Blush Palette - Blush Goddess,F5901,18,750,650,,,,1,simple,rated-5,Cosmetics > Makeup > Face Makeup > Blush|Buy 2 Get 1 Free|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup|Cosmetics > Non Discounted,,,Makeup Revolution,0|1|0,,,,,Makeup Revolution Blush,1|1|0,,20,2|0|0,
Technic 3x False Eyelash Glue,E2501,0,300,250,,,,1,simple,outofstock|rated-5,Cosmetics|Cosmetics > Makeup > Eye Makeup|Cosmetics > Makeup > Eye Makeup > False Eyelashes|Cosmetics > Makeup,,,Technic,0|1|0,,,,,Technic False Eyelash Glue|Technic False Eyelashes,1|1|0,,20,2|0|0,
The Body Shop Tea Tree Oil - 10ml,CF7901,4,850,750,,,,,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Skin &amp; Personal Care > Face Care > Serum &amp; Oil|Cosmetics > Skin &amp; Personal Care,,,The Body Shop,0|1|0,,,,,The Body Shop Face Serum &amp; Oil,1|1|0,,20,2|0|0,
Livon Hair Essentials Vitamin E Serum 20 ml,H7301,1,110,,,,,1,simple,rated-5,Cosmetics|Cosmetics > Hair|Cosmetics > Hair > Hair Care|Cosmetics > Hair > Hair Care > Hair Serum|Cosmetics > Non Discounted,,,Livon,0|1|0,,,,,Livon Hair Serum,1|1|0,,20,2|0|0,
Skin Cafe 100% Pure Castor Oil - 120ml,H7201,12,550,499,,,,1,simple,rated-5,Cosmetics|Cosmetics > Skin &amp; Personal Care > Face Care|Cosmetics > Hair|Cosmetics > Hair > Hair Care > Hair Oil|Cosmetics > Skin &amp; Personal Care > Face Care > Serum &amp; Oil|Cosmetics > Skin &amp; Personal Care,,,Skin Cafe,0|1|0,,,,,Skin Cafe Castor Oil|Skin Cafe Face Serum &amp; Oil|Skin Cafe Hair Oil,1|1|0,,20,2|0|0,
Vaseline Healthy White Lightening Body Lotion,CB1401,0,620,569,,,,1,simple,outofstock|rated-5,Cosmetics > Skin &amp; Personal Care > Body Care|Cosmetics|Cosmetics > Skin &amp; Personal Care > Body Care > Lotions &amp; Creams|Cosmetics > Skin &amp; Personal Care,,,Vaseline,0|1|0,,,,,Vaseline Body Lotions &amp; Creams,1|1|0,,20,2|0|0,
